ALICE,100784,030495,100422
AMANDA,240289,291003,010911
ANTONIO,080390,150511,080614
BARBARA,290479,180286,100908
DIEGO,080970,251186,060320
EMANUELLY,250476,150482,090105
ENRICO,280668,101176,060688
FERNANDO,220567,210769,140917
ISADORA,280807,210713,190517
ISIS,050765,050765,050765
JOAQUIM,150280,310799,060605
LETICIA,260326,260326,260326
LIVIA,071279,090999,090226
LIVIA,100477,230505,310711
LUCAS,031270,190299,300613
LUISA,050195,140312,300725
MARINA,220972,121100,260705
MARINALVA,211165,060770,160275
OCTAVIO,071269,180423,050225
RENATO,141171,040793,270916
